1   0
2   1
3   2
4   2
5   2
6   2
7   2
8   1
9   1
10  1
11  1
12  1
13  1
14  2
15  2
16  2
17  2
18  1
19  2
20  1
21  2
22  2
23  1
24  1
25  2
26  1
27  1
28  2
29  2
30  2
31  2
32  1
33  1
34  1
35  2
36  2
37  2
38  1
39  1
40  2
41  2
42  1
43  2
44  1
45  2
46  2
47  1
48  2
49  2
50  1
51  1
52  1
53	2
54	1
55	2
56	1
57	2
58	1
59	2
60	1
61	2
62	1
63	2
64	1
65	1
66	2
67	1
68	2
69	1
70	2
71	1
72	2
73	1
74	2
75	1
76	1
77	2
78	1
79	2
80	1
81	2
82  1
83	2
84	1
85	2
86	1
87	2
88	1
89	2
90	1
91	2
92	1
93	2
94	1
95	2
96	1
97	2
98	1
99	1
100 2
101	1
102	2
103	1
104	2
105	1
106	2
107	1
108	2
109	1
110	1
111	2
112	1
113	2
114	1
115	2
116	1
117	2
118	1
119	2
120	2
121	1
122	2
123	1
124	2
125	1
126	2
127	1
128	2
129	1
130	2
131	1
132	1
133	2
134	1
135	2
136	1
137	2
138	1
139	2
140	1
141	2
142	1
143	1
144	2
145	1
146	2
147	1
148	2
149	1
150	2
151	1
152	2
153	2
154	1
155	2
156	1
157	2
158	1
159	2
160	1
161	2
162	1
163	2
164	1
165	1
166	2
167	1
168	2
169	1
170	2
171	1
172	2
173	1
174	2
175	1
176	1
177	2
178	1
179	2
180	1
181	2
182	1
183	2
184	1
185	2
186	1
187	2
188	1
189	2
190	1
191	1
192	2
193	1
194	2
195	1
196	2
197	1
198	2
199	1
200	2
